ExpPeriod,ExpCountry,ExpBrkDwn,Value,Internetuse
2002,European Union,age 16 to 24,52.6426,sending/receiving e-mails
2002,European Union,age 25 to 34,41.6967,finding information about goods and services
2002,European Union,age 25 to 34,46.7526,sending/receiving e-mails
2002,European Union,age 25 to 54,35.6859,finding information about goods and services
2002,European Union,age 25 to 54,39.8508,sending/receiving e-mails
2002,European Union,age 35 to 44,36.2369,finding information about goods and services
2002,European Union,age 35 to 44,40.128,sending/receiving e-mails
2002,European Union,age 45 to 54,28.6163,finding information about goods and services
2002,European Union,age 45 to 54,32.1515,sending/receiving e-mails
2002,European Union,age 55 to 64,16.2553,finding information about goods and services
2002,European Union,age 55 to 64,20.2256,sending/receiving e-mails
2002,European Union,all ages,29.0604,finding information about goods and services
2002,European Union,all ages,34.5513,sending/receiving e-mails
2002,Finland,age 16 to 24,65.1558,finding information about goods and services
2002,Finland,age 16 to 24,6.8772,selling goods or services
2002,Finland,age 16 to 24,70.3169,sending/receiving e-mails
2002,Finland,age 25 to 34,69.5606,finding information about goods and services
2002,Finland,age 25 to 34,10.7554,selling goods or services
2002,Finland,age 25 to 34,67.4843,sending/receiving e-mails
2002,Finland,age 25 to 54,53.8649,finding information about goods and services
2002,Finland,age 25 to 54,5.7213,selling goods or services
2002,Finland,age 25 to 54,52.1151,sending/receiving e-mails
2002,Finland,age 35 to 44,56.7153,finding information about goods and services
2002,Finland,age 35 to 44,4.4207,selling goods or services
2002,Finland,age 35 to 44,52.114,sending/receiving e-mails
2002,Finland,age 45 to 54,38.8084,finding information about goods and services
2002,Finland,age 45 to 54,2.9333,selling goods or services
2002,Finland,age 45 to 54,39.9451,sending/receiving e-mails
2002,Finland,age 55 to 64,21.9948,finding information about goods and services
2002,Finland,age 55 to 64,2.1812,selling goods or services
2002,Finland,age 55 to 64,28.1504,sending/receiving e-mails
2002,Finland,age 55 to 74,15.3387,finding information about goods and services
2002,Finland,age 55 to 74,1.6292,selling goods or services
2002,Finland,age 55 to 74,19.1728,sending/receiving e-mails
2002,Finland,age 65 to 74,6.1061,finding information about goods and services
2002,Finland,age 65 to 74,0.8636,selling goods or services
2002,Finland,age 65 to 74,6.7201,sending/receiving e-mails
2002,Finland,all ages,45.4666,finding information about goods and services
2002,Finland,all ages,4.8221,selling goods or services
2002,Finland,all ages,46.3611,sending/receiving e-mails
2002,Germany,age 0 to 15,17.1464,finding information about goods and services
2002,Germany,age 0 to 15,36.0801,sending/receiving e-mails
2002,Germany,age 16 to 24,44.7327,finding information about goods and services
2002,Germany,age 16 to 24,61.1528,sending/receiving e-mails
2002,Germany,age 25 to 34,54.1506,finding information about goods and services
2002,Germany,age 25 to 34,55.517,sending/receiving e-mails
2002,Germany,age 25 to 54,44.1327,finding information about goods and services
2002,Germany,age 25 to 54,44.8443,sending/receiving e-mails
2002,Germany,age 35 to 44,45.3949,finding information about goods and services
2002,Germany,age 35 to 44,45.0679,sending/receiving e-mails
2002,Germany,age 45 to 54,33.0193,finding information about goods and services
2002,Germany,age 45 to 54,34.3352,sending/receiving e-mails
2002,Germany,age 55 to 64,16.2163,finding information about goods and services
2002,Germany,age 55 to 64,19.5613,sending/receiving e-mails
2002,Germany,age 75 and over,0,selling goods or services
2002,Germany,all ages,34.3078,finding information about goods and services
2002,Germany,all ages,5.4852,selling goods or services
2002,Germany,all ages,37.5975,sending/receiving e-mails
2002,Greece,age 16 to 24,19.9345,finding information about goods and services
2002,Greece,age 16 to 24,0.0552,selling goods or services
2002,Greece,age 16 to 24,20.0498,sending/receiving e-mails
2002,Greece,age 25 to 34,16.9439,finding information about goods and services
2002,Greece,age 25 to 34,0,selling goods or services
2002,Greece,age 25 to 34,18.4634,sending/receiving e-mails
2002,Greece,age 25 to 54,11.4961,finding information about goods and services
2002,Greece,age 25 to 54,0.0437,selling goods or services
2002,Greece,age 25 to 54,11.525,sending/receiving e-mails
2002,Greece,age 35 to 44,11.9187,finding information about goods and services
2002,Greece,age 35 to 44,0.1273,selling goods or services
2002,Greece,age 35 to 44,11.2665,sending/receiving e-mails
2002,Greece,age 45 to 54,5.6063,finding information about goods and services
2002,Greece,age 45 to 54,0,selling goods or services
2002,Greece,age 45 to 54,4.8574,sending/receiving e-mails
2002,Greece,age 55 to 64,2.1077,finding information about goods and services
2002,Greece,age 55 to 64,0,selling goods or services
2002,Greece,age 55 to 64,2.5827,sending/receiving e-mails
2002,Greece,age 55 to 74,1.3211,finding information about goods and services
2002,Greece,age 55 to 74,0,selling goods or services
2002,Greece,age 55 to 74,1.5786,sending/receiving e-mails
2002,Greece,age 65 to 74,0.4703,finding information about goods and services
2002,Greece,age 65 to 74,0,selling goods or services
2002,Greece,age 65 to 74,0.4923,sending/receiving e-mails
2002,Greece,all ages,9.6585,finding information about goods and services
2002,Greece,all ages,0.0317,selling goods or services
2002,Greece,all ages,9.7743,sending/receiving e-mails
2002,Luxembourg,age 16 to 24,38.0732,finding information about goods and services
2002,Luxembourg,age 16 to 24,3.6838,selling goods or services
2002,Luxembourg,age 16 to 24,49.5709,sending/receiving e-mails
2002,Luxembourg,age 25 to 34,50.0576,finding information about goods and services
2002,Luxembourg,age 25 to 34,4.3262,selling goods or services
2002,Luxembourg,age 25 to 34,49.1618,sending/receiving e-mails
2002,Luxembourg,age 25 to 54,39.0298,finding information about goods and services
2002,Luxembourg,age 25 to 54,3.6817,selling goods or services
2002,Luxembourg,age 25 to 54,39.359,sending/receiving e-mails
2002,Luxembourg,age 35 to 44,39.6651,finding information about goods and services
2002,Luxembourg,age 35 to 44,4.4102,selling goods or services
2002,Luxembourg,age 35 to 44,39.9057,sending/receiving e-mails
2002,Luxembourg,age 45 to 54,24.6418,finding information about goods and services
2002,Luxembourg,age 45 to 54,1.9594,selling goods or services
2002,Luxembourg,age 45 to 54,26.5923,sending/receiving e-mails
2002,Luxembourg,age 55 to 64,12.3821,finding information about goods and services
2002,Luxembourg,age 55 to 64,0.3587,selling goods or services
2002,Luxembourg,age 55 to 64,12.2956,sending/receiving e-mails
2002,Luxembourg,age 55 to 74,6.5408,finding information about goods and services
2002,Luxembourg,age 55 to 74,0.5004,selling goods or services
2002,Luxembourg,age 55 to 74,7.0145,sending/receiving e-mails
2002,Luxembourg,age 65 to 74,1.3677,finding information about goods and services
2002,Luxembourg,age 65 to 74,0.6259,selling goods or services
2002,Luxembourg,age 65 to 74,2.3374,sending/receiving e-mails
2002,Luxembourg,all ages,29.0951,finding information about goods and services
2002,Luxembourg,all ages,2.7189,selling goods or services
2002,Luxembourg,all ages,30.6312,sending/receiving e-mails
2002,Netherlands,age 16 to 24,29.8479,finding information about goods and services
2002,Netherlands,age 16 to 24,67.4889,sending/receiving e-mails
2002,Netherlands,age 25 to 34,38.9706,finding information about goods and services
2002,Netherlands,age 25 to 34,62.471,sending/receiving e-mails
2002,Netherlands,age 25 to 54,30.985,finding information about goods and services
2002,Netherlands,age 25 to 54,54.7374,sending/receiving e-mails
2002,Netherlands,age 35 to 44,31.2237,finding information about goods and services
2002,Netherlands,age 35 to 44,55.8649,sending/receiving e-mails
2002,Netherlands,age 45 to 54,22.4452,finding information about goods and services
2002,Netherlands,age 45 to 54,45.4601,sending/receiving e-mails
2002,Netherlands,age 55 to 64,12.8493,finding information about goods and services
2002,Netherlands,age 55 to 64,30.8615,sending/receiving e-mails
2002,Netherlands,all ages,25.6357,finding information about goods and services
2002,Netherlands,all ages,49.04,sending/receiving e-mails
2002,Spain,age 16 to 24,16.6943,finding information about goods and services
2002,Spain,age 16 to 24,1.0154,selling goods or services
2002,Spain,age 16 to 24,30.2033,sending/receiving e-mails
2002,Spain,age 25 to 34,16.1349,finding information about goods and services
2002,Spain,age 25 to 34,2.0483,selling goods or services
2002,Spain,age 25 to 34,24.4205,sending/receiving e-mails
2002,Spain,age 25 to 54,11.9912,finding information about goods and services
2002,Spain,age 25 to 54,1.6289,selling goods or services
2002,Spain,age 25 to 54,18.0186,sending/receiving e-mails
2002,Spain,age 35 to 44,11.2906,finding information about goods and services
2002,Spain,age 35 to 44,1.5437,selling goods or services
2002,Spain,age 35 to 44,16.906,sending/receiving e-mails
2002,Spain,age 45 to 54,7.1253,finding information about goods and services
2002,Spain,age 45 to 54,1.1542,selling goods or services
2002,Spain,age 45 to 54,10.5387,sending/receiving e-mails
2002,Spain,age 55 to 64,2.6139,finding information about goods and services
2002,Spain,age 55 to 64,0.3897,selling goods or services
2002,Spain,age 55 to 64,4.1236,sending/receiving e-mails
2002,Spain,age 55 to 74,1.6833,finding information about goods and services
2002,Spain,age 55 to 74,0.2374,selling goods or services
2002,Spain,age 55 to 74,2.58,sending/receiving e-mails
2002,Spain,age 65 to 74,0.7268,finding information about goods and services
2002,Spain,age 65 to 74,0.0809,selling goods or services
2002,Spain,age 65 to 74,0.9936,sending/receiving e-mails
2002,Spain,age 75 and over,0.3898,finding information about goods and services
2002,Spain,age 75 and over,0.0105,selling goods or services
2002,Spain,age 75 and over,0.4017,sending/receiving e-mails
2002,Spain,all ages,10.0702,finding information about goods and services
2002,Spain,all ages,1.1709,selling goods or services
2002,Spain,all ages,15.9597,sending/receiving e-mails
2002,Sweden,age 16 to 24,86.2699,finding information about goods and services
2002,Sweden,age 16 to 24,5.035,selling goods or services
2002,Sweden,age 16 to 24,86.3053,sending/receiving e-mails
2002,Sweden,age 25 to 34,81.0209,finding information about goods and services
2002,Sweden,age 25 to 34,7.8828,selling goods or services
2002,Sweden,age 25 to 34,75.0099,sending/receiving e-mails
2002,Sweden,age 25 to 54,72.0373,finding information about goods and services
2002,Sweden,age 25 to 54,5.3485,selling goods or services
2002,Sweden,age 25 to 54,64.8979,sending/receiving e-mails
2002,Sweden,age 35 to 44,72.1023,finding information about goods and services
2002,Sweden,age 35 to 44,5.0014,selling goods or services
2002,Sweden,age 35 to 44,63.5381,sending/receiving e-mails
2002,Sweden,age 45 to 54,63.2815,finding information about goods and services
2002,Sweden,age 45 to 54,3.2466,selling goods or services
2002,Sweden,age 45 to 54,56.4853,sending/receiving e-mails
2002,Sweden,age 55 to 64,46.2335,finding information about goods and services
2002,Sweden,age 55 to 64,1.6803,selling goods or services
2002,Sweden,age 55 to 64,43.3911,sending/receiving e-mails
2002,Sweden,age 55 to 74,32.9934,finding information about goods and services
2002,Sweden,age 55 to 74,1.1039,selling goods or services
2002,Sweden,age 55 to 74,31.9507,sending/receiving e-mails
2002,Sweden,age 65 to 74,13.4057,finding information about goods and services
2002,Sweden,age 65 to 74,0.2513,selling goods or services
2002,Sweden,age 65 to 74,15.0256,sending/receiving e-mails
2002,Sweden,all ages,61.6254,finding information about goods and services
2002,Sweden,all ages,4.0053,selling goods or services
2002,Sweden,all ages,57.1792,sending/receiving e-mails
2002,United Kingdom,age 16 to 24,39.384,finding information about goods and services
2002,United Kingdom,age 16 to 24,0,selling goods or services
2002,United Kingdom,age 16 to 24,55.3321,sending/receiving e-mails
2002,United Kingdom,age 25 to 34,44.9764,finding information about goods and services
2002,United Kingdom,age 25 to 34,1.9481,selling goods or services
2002,United Kingdom,age 25 to 34,47.3594,sending/receiving e-mails
2002,United Kingdom,age 25 to 54,40.2138,finding information about goods and services
2002,United Kingdom,age 25 to 54,1.2494,selling goods or services
2002,United Kingdom,age 25 to 54,43.1456,sending/receiving e-mails
2002,United Kingdom,age 35 to 44,39.1597,finding information about goods and services
2002,United Kingdom,age 35 to 44,0.6391,selling goods or services
2002,United Kingdom,age 35 to 44,43.3332,sending/receiving e-mails
2002,United Kingdom,age 45 to 54,36.3031,finding information about goods and services
2002,United Kingdom,age 45 to 54,1.2221,selling goods or services
2002,United Kingdom,age 45 to 54,38.3419,sending/receiving e-mails
2002,United Kingdom,age 55 to 64,23.383,finding information about goods and services
2002,United Kingdom,age 55 to 64,0.5159,selling goods or services
2002,United Kingdom,age 55 to 64,27.0274,sending/receiving e-mails
2002,United Kingdom,age 55 to 74,16.989,finding information about goods and services
2002,United Kingdom,age 55 to 74,0.3869,selling goods or services
2002,United Kingdom,age 55 to 74,19.5778,sending/receiving e-mails
2002,United Kingdom,age 65 to 74,8.5288,finding information about goods and services
2002,United Kingdom,age 65 to 74,0.2162,selling goods or services
2002,United Kingdom,age 65 to 74,9.721,sending/receiving e-mails
2002,United Kingdom,age 75 and over,2.1428,finding information about goods and services
2002,United Kingdom,age 75 and over,0,selling goods or services
2002,United Kingdom,age 75 and over,2.8573,sending/receiving e-mails
2002,United Kingdom,all ages,34.0218,finding information about goods and services
2002,United Kingdom,all ages,0.8349,selling goods or services
2002,United Kingdom,all ages,38.8348,sending/receiving e-mails
2003,Austria,age 16 to 24,36.5483,finding information about goods and services
2003,Austria,age 16 to 24,13.3706,Internet banking
2003,Austria,age 16 to 24,6.0879,seeking health information
2003,Austria,age 16 to 24,2.6259,selling goods or services
2003,Austria,age 16 to 24,58.3211,sending/receiving e-mails
2003,Austria,age 25 to 34,41.1136,finding information about goods and services
2003,Austria,age 25 to 34,21.1661,Internet banking
2003,Austria,age 25 to 34,9.4202,seeking health information
2003,Austria,age 25 to 34,3.5539,selling goods or services
2003,Austria,age 25 to 34,52.1743,sending/receiving e-mails
2003,Austria,age 25 to 54,34.0333,finding information about goods and services
2003,Austria,age 25 to 54,17.0508,Internet banking
2003,Austria,age 25 to 54,6.9222,seeking health information
2003,Austria,age 25 to 54,2.8732,selling goods or services
2003,Austria,age 25 to 54,43.4199,sending/receiving e-mails
2003,Austria,age 35 to 44,36.0143,finding information about goods and services
2003,Austria,age 35 to 44,17.6392,Internet banking
2003,Austria,age 35 to 44,7.0464,seeking health information
2003,Austria,age 35 to 44,3.3115,selling goods or services
2003,Austria,age 35 to 44,44.8215,sending/receiving e-mails
2003,Austria,age 45 to 54,23.3946,finding information about goods and services
2003,Austria,age 45 to 54,11.5921,Internet banking
2003,Austria,age 45 to 54,3.9087,seeking health information
2003,Austria,age 45 to 54,1.5313,selling goods or services
2003,Austria,age 45 to 54,31.6149,sending/receiving e-mails
2003,Austria,age 55 to 64,11.9716,finding information about goods and services
2003,Austria,age 55 to 64,4.8707,Internet banking
2003,Austria,age 55 to 64,3.2603,seeking health information
2003,Austria,age 55 to 64,0.7227,selling goods or services
2003,Austria,age 55 to 64,18.1753,sending/receiving e-mails
2003,Austria,age 55 to 74,7.4124,finding information about goods and services
2003,Austria,age 55 to 74,3.1331,Internet banking
2003,Austria,age 55 to 74,2.0894,seeking health information
2003,Austria,age 55 to 74,0.3644,selling goods or services
2003,Austria,age 55 to 74,11.1136,sending/receiving e-mails
2003,Austria,age 65 to 74,2.7757,finding information about goods and services
2003,Austria,age 65 to 74,1.3659,Internet banking
2003,Austria,age 65 to 74,0.8985,seeking health information
2003,Austria,age 65 to 74,0,selling goods or services
2003,Austria,age 65 to 74,3.9319,sending/receiving e-mails
2003,Austria,all ages,26.6693,finding information about goods and services
2003,Austria,all ages,12.5123,Internet banking
2003,Austria,all ages,5.4074,seeking health information
2003,Austria,all ages,2.1125,selling goods or services
2003,Austria,all ages,36.1162,sending/receiving e-mails
2003,Czechia,age 16 to 24,24.7204,finding information about goods and services
2003,Czechia,age 16 to 24,3.2875,Internet banking
2003,Czechia,age 16 to 24,0.1883,selling goods or services
2003,Czechia,age 16 to 24,47.1658,sending/receiving e-mails
2003,Czechia,age 25 to 34,22.2968,finding information about goods and services
2003,Czechia,age 25 to 34,5.3778,Internet banking
2003,Czechia,age 25 to 34,0.67,selling goods or services
2003,Czechia,age 25 to 34,29.4436,sending/receiving e-mails
2003,Czechia,age 25 to 54,19.4212,finding information about goods and services
2003,Czechia,age 25 to 54,5.0428,Internet banking
2003,Czechia,age 25 to 54,0.4796,selling goods or services
2003,Czechia,age 25 to 54,25.7398,sending/receiving e-mails
2003,Czechia,age 35 to 44,21.2354,finding information about goods and services
2003,Czechia,age 35 to 44,6.3289,Internet banking
2003,Czechia,age 35 to 44,0.564,selling goods or services
2003,Czechia,age 35 to 44,28.7348,sending/receiving e-mails
2003,Czechia,age 45 to 54,14.693,finding information about goods and services
2003,Czechia,age 45 to 54,3.5529,Internet banking
2003,Czechia,age 45 to 54,0.1978,selling goods or services
2003,Czechia,age 45 to 54,19.0745,sending/receiving e-mails
2003,Czechia,age 55 to 64,6.5925,finding information about goods and services
2003,Czechia,age 55 to 64,1.1591,Internet banking
2003,Czechia,age 55 to 64,0.2646,selling goods or services
2003,Czechia,age 55 to 64,9.2288,sending/receiving e-mails
2003,Czechia,age 55 to 74,3.5483,finding information about goods and services
2003,Czechia,age 55 to 74,0.6087,Internet banking
2003,Czechia,age 55 to 74,0.1256,selling goods or services
2003,Czechia,age 55 to 74,5.0858,sending/receiving e-mails
2003,Czechia,age 65 to 74,0.7962,finding information about goods and services
2003,Czechia,age 65 to 74,0.1112,Internet banking
2003,Czechia,age 65 to 74,0,selling goods or services
2003,Czechia,age 65 to 74,1.3406,sending/receiving e-mails
2003,Czechia,all ages,15.3045,finding information about goods and services
2003,Czechia,all ages,3.3668,Internet banking
2003,Czechia,all ages,0.3213,selling goods or services
2003,Czechia,all ages,22.7452,sending/receiving e-mails
2003,Denmark,age 16 to 24,67.4419,finding information about goods and services
2003,Denmark,age 16 to 24,30.8324,Internet banking
2003,Denmark,age 16 to 24,39.8045,seeking health information
2003,Denmark,age 16 to 24,8.1399,selling goods or services
2003,Denmark,age 16 to 24,79.7051,sending/receiving e-mails
2003,Denmark,age 25 to 34,69.3046,finding information about goods and services
2003,Denmark,age 25 to 34,53.4308,Internet banking
2003,Denmark,age 25 to 34,43.3984,seeking health information
2003,Denmark,age 25 to 34,8.6947,selling goods or services
2003,Denmark,age 25 to 34,74.5288,sending/receiving e-mails
2003,Denmark,age 25 to 54,62.9505,finding information about goods and services
2003,Denmark,age 25 to 54,47.3341,Internet banking
2003,Denmark,age 25 to 54,41.178,seeking health information
2003,Denmark,age 25 to 54,7.6562,selling goods or services
2003,Denmark,age 25 to 54,68.699,sending/receiving e-mails
2003,Denmark,age 35 to 44,63.6597,finding information about goods and services
2003,Denmark,age 35 to 44,47.4502,Internet banking
2003,Denmark,age 35 to 44,44.1201,seeking health information
2003,Denmark,age 35 to 44,8.7329,selling goods or services
2003,Denmark,age 35 to 44,67.7224,sending/receiving e-mails
2003,Denmark,age 45 to 54,55.14,finding information about goods and services
2003,Denmark,age 45 to 54,40.4977,Internet banking
2003,Denmark,age 45 to 54,35.3078,seeking health information
2003,Denmark,age 45 to 54,5.2595,selling goods or services
2003,Denmark,age 45 to 54,63.43,sending/receiving e-mails
2003,Denmark,age 55 to 64,33.5404,finding information about goods and services
2003,Denmark,age 55 to 64,25.2417,Internet banking
2003,Denmark,age 55 to 64,22.2127,seeking health information
2003,Denmark,age 55 to 64,2.7357,selling goods or services
2003,Denmark,age 55 to 64,43.3712,sending/receiving e-mails
2003,Denmark,age 55 to 74,26.4138,finding information about goods and services
2003,Denmark,age 55 to 74,20.5545,Internet banking
2003,Denmark,age 55 to 74,18.6309,seeking health information
2003,Denmark,age 55 to 74,2.0225,selling goods or services
2003,Denmark,age 55 to 74,35.5051,sending/receiving e-mails
2003,Denmark,age 65 to 74,14.5867,finding information about goods and services
2003,Denmark,age 65 to 74,12.7756,Internet banking
2003,Denmark,age 65 to 74,12.6865,seeking health information
2003,Denmark,age 65 to 74,0.839,selling goods or services
2003,Denmark,age 65 to 74,22.4506,sending/receiving e-mails
2003,Denmark,all ages,53.2575,finding information about goods and services
2003,Denmark,all ages,37.516,Internet banking
2003,Denmark,all ages,34.6282,seeking health information
2003,Denmark,all ages,6.1329,selling goods or services
2003,Denmark,all ages,60.8429,sending/receiving e-mails
2003,European Union,age 16 to 24,56.4614,finding information about goods and services
2003,European Union,age 16 to 24,14.7645,Internet banking
2003,European Union,age 16 to 24,7.6528,selling goods or services
2003,European Union,age 16 to 24,63.183,sending/receiving e-mails
2003,European Union,age 25 to 34,57.5022,finding information about goods and services
2003,European Union,age 25 to 34,30.207,Internet banking
2003,European Union,age 25 to 34,9.8888,selling goods or services
2003,European Union,age 25 to 34,56.9545,sending/receiving e-mails
2003,European Union,age 25 to 54,48.3998,finding information about goods and services
2003,European Union,age 25 to 54,24.9036,Internet banking
2003,European Union,age 25 to 54,7.0847,selling goods or services
2003,European Union,age 25 to 54,48.8164,sending/receiving e-mails
2003,European Union,age 35 to 44,49.7673,finding information about goods and services
2003,European Union,age 35 to 44,25.295,Internet banking
2003,European Union,age 35 to 44,7.5378,selling goods or services
2003,European Union,age 35 to 44,49.3816,sending/receiving e-mails
2003,European Union,age 45 to 54,37.1685,finding information about goods and services
2003,European Union,age 45 to 54,18.8242,Internet banking
2003,European Union,age 45 to 54,3.577,selling goods or services
2003,European Union,age 45 to 54,39.556,sending/receiving e-mails
2003,European Union,age 55 to 64,21.6299,finding information about goods and services
2003,European Union,age 55 to 64,11.4781,Internet banking
2003,European Union,age 55 to 64,1.5274,selling goods or services
2003,European Union,age 55 to 64,24.5613,sending/receiving e-mails
2003,European Union,age 55 to 74,15.6639,finding information about goods and services
2003,European Union,age 55 to 74,8.3582,Internet banking
2003,European Union,age 55 to 74,18.1321,sending/receiving e-mails
2003,European Union,age 65 to 74,8.2681,finding information about goods and services
2003,European Union,age 65 to 74,4.5324,Internet banking
2003,European Union,age 65 to 74,10.1622,sending/receiving e-mails
2003,European Union,all ages,40.3149,finding information about goods and services
2003,European Union,all ages,18.6673,Internet banking
2003,European Union,all ages,5.4743,selling goods or services
2003,European Union,all ages,42.2506,sending/receiving e-mails
2003,Finland,age 16 to 24,74.4787,finding information about goods and services
2003,Finland,age 16 to 24,38.5234,Internet banking
2003,Finland,age 16 to 24,43.7867,seeking health information
2003,Finland,age 16 to 24,6.8984,selling goods or services
2003,Finland,age 16 to 24,78.6223,sending/receiving e-mails
2003,Finland,age 25 to 34,74.4737,finding information about goods and services
2003,Finland,age 25 to 34,66.5203,Internet banking
2003,Finland,age 25 to 34,50.6028,seeking health information
2003,Finland,age 25 to 34,10.4384,selling goods or services
2003,Finland,age 25 to 34,72.8818,sending/receiving e-mails
2003,Finland,age 25 to 54,63.2797,finding information about goods and services
2003,Finland,age 25 to 54,56.4282,Internet banking
2003,Finland,age 25 to 54,39.5346,seeking health information
2003,Finland,age 25 to 54,6.5299,selling goods or services
2003,Finland,age 25 to 54,63.5001,sending/receiving e-mails
2003,Finland,age 35 to 44,69.8521,finding information about goods and services
2003,Finland,age 35 to 44,61.4252,Internet banking
2003,Finland,age 35 to 44,43.4196,seeking health information
2003,Finland,age 35 to 44,6.6821,selling goods or services
2003,Finland,age 35 to 44,67.7163,sending/receiving e-mails
2003,Finland,age 45 to 54,48.2389,finding information about goods and services
2003,Finland,age 45 to 54,43.7353,Internet banking
2003,Finland,age 45 to 54,27.1038,seeking health information
2003,Finland,age 45 to 54,3.2794,selling goods or services
2003,Finland,age 45 to 54,52.1011,sending/receiving e-mails
2003,Finland,age 55 to 64,29.1565,finding information about goods and services
2003,Finland,age 55 to 64,27.7436,Internet banking
2003,Finland,age 55 to 64,14.3541,seeking health information
2003,Finland,age 55 to 64,1.4826,selling goods or services
2003,Finland,age 55 to 64,32.9364,sending/receiving e-mails
2003,Finland,age 55 to 74,19.7659,finding information about goods and services
2003,Finland,age 55 to 74,19.9635,Internet banking
2003,Finland,age 55 to 74,9.8189,seeking health information
2003,Finland,age 55 to 74,1.1067,selling goods or services
2003,Finland,age 55 to 74,22.7413,sending/receiving e-mails
2003,Finland,age 65 to 74,6.1315,finding information about goods and services
2003,Finland,age 65 to 74,8.6673,Internet banking
2003,Finland,age 65 to 74,3.2341,seeking health information
2003,Finland,age 65 to 74,0.5608,selling goods or services
2003,Finland,age 65 to 74,7.9386,sending/receiving e-mails
2003,Finland,all ages,53.1369,finding information about goods and services
2003,Finland,all ages,43.4038,Internet banking
2003,Finland,all ages,32.0451,seeking health information
2003,Finland,all ages,5.0955,selling goods or services
2003,Finland,all ages,54.7676,sending/receiving e-mails
2003,Germany,age 0 to 15,34.6272,finding information about goods and services
2003,Germany,age 0 to 15,0,Internet banking
2003,Germany,age 0 to 15,0,seeking health information
2003,Germany,age 0 to 15,0,selling goods or services
2003,Germany,age 0 to 15,39.7884,sending/receiving e-mails
2003,Germany,age 16 to 24,67.4086,finding information about goods and services
2003,Germany,age 16 to 24,17.7564,Internet banking
2003,Germany,age 16 to 24,0,seeking health information
2003,Germany,age 16 to 24,0,selling goods or services
2003,Germany,age 16 to 24,71.7931,sending/receiving e-mails
2003,Germany,age 25 to 34,68.638,finding information about goods and services
2003,Germany,age 25 to 34,37.3928,Internet banking
2003,Germany,age 25 to 34,0,seeking health information
